"Var","Location","Val","Month","Year"
"Temperature","Edmonton, Alberta",-9.1,"Jan",1958
"Temperature","Edmonton, Alberta",-14.8,"Feb",1958
"Temperature","Edmonton, Alberta",-7.2,"Mar",1958
"Temperature","Edmonton, Alberta",4.5,"Apr",1958
"Temperature","Edmonton, Alberta",13.3,"May",1958
"Temperature","Edmonton, Alberta",14,"Jun",1958
"Temperature","Edmonton, Alberta",16.6,"Jul",1958
"Temperature","Edmonton, Alberta",17,"Aug",1958
"Temperature","Edmonton, Alberta",10,"Sep",1958
"Temperature","Edmonton, Alberta",6.3,"Oct",1958
"Temperature","Edmonton, Alberta",-4.9,"Nov",1958
"Temperature","Edmonton, Alberta",-10.9,"Dec",1958
"Temperature","Edmonton, Alberta",-20.6,"Jan",1959
"Temperature","Edmonton, Alberta",-11.8,"Feb",1959
"Temperature","Edmonton, Alberta",-2,"Mar",1959
"Temperature","Edmonton, Alberta",4.7,"Apr",1959
"Temperature","Edmonton, Alberta",8.2,"May",1959
"Temperature","Edmonton, Alberta",13.1,"Jun",1959
"Temperature","Edmonton, Alberta",17.2,"Jul",1959
"Temperature","Edmonton, Alberta",13.1,"Aug",1959
"Temperature","Edmonton, Alberta",9,"Sep",1959
"Temperature","Edmonton, Alberta",2.7,"Oct",1959
"Temperature","Edmonton, Alberta",-5.6,"Nov",1959
"Temperature","Edmonton, Alberta",-4.9,"Dec",1959
"Temperature","Edmonton, Alberta",-15.3,"Jan",1960
"Temperature","Edmonton, Alberta",-11.6,"Feb",1960
"Temperature","Edmonton, Alberta",-7.8,"Mar",1960
"Temperature","Edmonton, Alberta",5.2,"Apr",1960
"Temperature","Edmonton, Alberta",9.1,"May",1960
"Temperature","Edmonton, Alberta",12.9,"Jun",1960
"Temperature","Edmonton, Alberta",18.2,"Jul",1960
"Temperature","Edmonton, Alberta",15,"Aug",1960
"Temperature","Edmonton, Alberta",10.9,"Sep",1960
"Temperature","Edmonton, Alberta",6.2,"Oct",1960
"Temperature","Edmonton, Alberta",-5.4,"Nov",1960
"Temperature","Edmonton, Alberta",-7.6,"Dec",1960
"Temperature","Edmonton, Alberta",-9.9,"Jan",1961
"Temperature","Edmonton, Alberta",-9.6,"Feb",1961
"Temperature","Edmonton, Alberta",-3.3,"Mar",1961
"Temperature","Edmonton, Alberta",2.8,"Apr",1961
"Temperature","Edmonton, Alberta",11.5,"May",1961
"Temperature","Edmonton, Alberta",17.7,"Jun",1961
"Temperature","Edmonton, Alberta",17.3,"Jul",1961
"Temperature","Edmonton, Alberta",18.2,"Aug",1961
"Temperature","Edmonton, Alberta",7.9,"Sep",1961
"Temperature","Edmonton, Alberta",3.2,"Oct",1961
"Temperature","Edmonton, Alberta",-6.2,"Nov",1961
"Temperature","Edmonton, Alberta",-18.4,"Dec",1961
"Temperature","Edmonton, Alberta",-13,"Jan",1962
"Temperature","Edmonton, Alberta",-16.4,"Feb",1962
"Temperature","Edmonton, Alberta",-10,"Mar",1962
"Temperature","Edmonton, Alberta",4.3,"Apr",1962
"Temperature","Edmonton, Alberta",9.7,"May",1962
"Temperature","Edmonton, Alberta",14.5,"Jun",1962
"Temperature","Edmonton, Alberta",15.1,"Jul",1962
"Temperature","Edmonton, Alberta",14.8,"Aug",1962
"Temperature","Edmonton, Alberta",10.9,"Sep",1962
"Temperature","Edmonton, Alberta",6.7,"Oct",1962
"Temperature","Edmonton, Alberta",-1.4,"Nov",1962
"Temperature","Edmonton, Alberta",-8.6,"Dec",1962
"Temperature","Edmonton, Alberta",-16.6,"Jan",1963
"Temperature","Edmonton, Alberta",-8.4,"Feb",1963
"Temperature","Edmonton, Alberta",-3,"Mar",1963
"Temperature","Edmonton, Alberta",4.3,"Apr",1963
"Temperature","Edmonton, Alberta",9.1,"May",1963
"Temperature","Edmonton, Alberta",14.4,"Jun",1963
"Temperature","Edmonton, Alberta",17.8,"Jul",1963
"Temperature","Edmonton, Alberta",16.5,"Aug",1963
"Temperature","Edmonton, Alberta",13.6,"Sep",1963
"Temperature","Edmonton, Alberta",7.9,"Oct",1963
"Temperature","Edmonton, Alberta",-7.2,"Nov",1963
"Temperature","Edmonton, Alberta",-11.1,"Dec",1963
"Temperature","Edmonton, Alberta",-12,"Jan",1964
"Temperature","Edmonton, Alberta",-4,"Feb",1964
"Temperature","Edmonton, Alberta",-10.1,"Mar",1964
"Temperature","Edmonton, Alberta",4,"Apr",1964
"Temperature","Edmonton, Alberta",10.5,"May",1964
"Temperature","Edmonton, Alberta",14.3,"Jun",1964
"Temperature","Edmonton, Alberta",17.3,"Jul",1964
"Temperature","Edmonton, Alberta",14.6,"Aug",1964
"Temperature","Edmonton, Alberta",8.2,"Sep",1964
"Temperature","Edmonton, Alberta",7,"Oct",1964
"Temperature","Edmonton, Alberta",-6.2,"Nov",1964
"Temperature","Edmonton, Alberta",-20.9,"Dec",1964
"Temperature","Edmonton, Alberta",-17.4,"Jan",1965
"Temperature","Edmonton, Alberta",-14.3,"Feb",1965
"Temperature","Edmonton, Alberta",-10.4,"Mar",1965
"Temperature","Edmonton, Alberta",2.5,"Apr",1965
"Temperature","Edmonton, Alberta",10,"May",1965
"Temperature","Edmonton, Alberta",13.6,"Jun",1965
"Temperature","Edmonton, Alberta",17.6,"Jul",1965
"Temperature","Edmonton, Alberta",16.9,"Aug",1965
"Temperature","Edmonton, Alberta",5.9,"Sep",1965
"Temperature","Edmonton, Alberta",7.6,"Oct",1965
"Temperature","Edmonton, Alberta",-8.4,"Nov",1965
"Temperature","Edmonton, Alberta",-12.2,"Dec",1965
"Temperature","Edmonton, Alberta",-24.5,"Jan",1966
"Temperature","Edmonton, Alberta",-12.2,"Feb",1966
"Temperature","Edmonton, Alberta",-6.2,"Mar",1966
"Temperature","Edmonton, Alberta",0.8,"Apr",1966
"Temperature","Edmonton, Alberta",11.7,"May",1966
"Temperature","Edmonton, Alberta",12.8,"Jun",1966
"Temperature","Edmonton, Alberta",16.1,"Jul",1966
"Temperature","Edmonton, Alberta",14.3,"Aug",1966
"Temperature","Edmonton, Alberta",12.6,"Sep",1966
"Temperature","Edmonton, Alberta",4.5,"Oct",1966
"Temperature","Edmonton, Alberta",-10.4,"Nov",1966
"Temperature","Edmonton, Alberta",-11.7,"Dec",1966
"Temperature","Edmonton, Alberta",-17.2,"Jan",1967
"Temperature","Edmonton, Alberta",-11.3,"Feb",1967
"Temperature","Edmonton, Alberta",-10.5,"Mar",1967
